,name,repo,issue
0,"[Compiler Bug]: `""use no memo""` Directive ignored by React Compiler Playground","Repository(full_name=""facebook/react"")","[Issue(title=""[Compiler Bug]: `""use no memo""` Directive ignored by React Compiler Playground"", number=31331)]"
1,[Compiler]: Consider the `dispatch` fn from useActionState and useFormState to be non-reactive,"Repository(full_name=""facebook/react"")","[Issue(title=""[Compiler]: Consider the `dispatch` fn from useActionState and useFormState to be non-reactive"", number=29674)]"
2,[DevTools Bug]: provide an icon to Edge devtools?,"Repository(full_name=""facebook/react"")","[Issue(title=""[DevTools Bug]: provide an icon to Edge devtools?"", number=26352)]"
3,[DevTools Bug]: React extension tab in Edge DevTools doesn't have emoji prefix in title.,"Repository(full_name=""facebook/react"")","[Issue(title=""[DevTools Bug]: React extension tab in Edge DevTools doesn't have emoji prefix in title."", number=25228)]"
4,Rollup build script --unsafe-partial flag is broken,"Repository(full_name=""facebook/react"")","[Issue(title=""Rollup build script --unsafe-partial flag is broken"", number=22323)]"
5,[DevTools Bug]: Settings panel layout broken,"Repository(full_name=""facebook/react"")","[Issue(title=""[DevTools Bug]: Settings panel layout broken"", number=21718)]"
6,Bug: Can't build react-devtools-extensions,"Repository(full_name=""facebook/react"")","[Issue(title=""Bug: Can't build react-devtools-extensions"", number=20997)]"
7,Bug: using MessageChannel prevents node.js process from exiting,"Repository(full_name=""facebook/react"")","[Issue(title=""Bug: using MessageChannel prevents node.js process from exiting"", number=20756)]"
8,Bug: react-hooks/rules-of-hooks should support compound component pattern,"Repository(full_name=""facebook/react"")","[Issue(title=""Bug: react-hooks/rules-of-hooks should support compound component pattern"", number=20700)]"
9,React DevTools should bump the Electron version to 11.0.1 for darwin-arm64 builds,"Repository(full_name=""facebook/react"")","[Issue(title=""React DevTools should bump the Electron version to 11.0.1 for darwin-arm64 builds"", number=20454)]"
10,Fast Refresh: Improve dev experience when DevTools hook is disabled,"Repository(full_name=""facebook/react"")","[Issue(title=""Fast Refresh: Improve dev experience when DevTools hook is disabled"", number=20117)]"
11,Bug: Error loading source maps for devtools extension,"Repository(full_name=""facebook/react"")","[Issue(title=""Bug: Error loading source maps for devtools extension"", number=20075)]"
12,Bug: Devtools' update-notifier usage is overly eager,"Repository(full_name=""facebook/react"")","[Issue(title=""Bug: Devtools' update-notifier usage is overly eager"", number=20061)]"
13,Bug: Proxy on Context throws an error in DevTools,"Repository(full_name=""facebook/react"")","[Issue(title=""Bug: Proxy on Context throws an error in DevTools"", number=19545)]"
14,"Bug: React Hook ""useContext"" is called in function ""login"" which is neither a React function component or a custom React Hook function  react-hooks/rules-of-hooks","Repository(full_name=""facebook/react"")","[Issue(title=""Bug: React Hook ""useContext"" is called in function ""login"" which is neither a React function component or a custom React Hook function  react-hooks/rules-of-hooks"", number=19402)]"
15,Scheduler callback is only checked for null value and therefore throws when callback is undefined.,"Repository(full_name=""facebook/react"")","[Issue(title=""Scheduler callback is only checked for null value and therefore throws when callback is undefined."", number=19362)]"
16,"Bug: react-devtools error when KEY and CERT are provided, SSL not usable","Repository(full_name=""facebook/react"")","[Issue(title=""Bug: react-devtools error when KEY and CERT are provided, SSL not usable"", number=19338)]"
17,Bug: react-hooks/exhaustive-deps reports a TypeScript type via typeof as a dependency,"Repository(full_name=""facebook/react"")","[Issue(title=""Bug: react-hooks/exhaustive-deps reports a TypeScript type via typeof as a dependency"", number=19327)]"
18,Suggestion: show HOC names in profiler,"Repository(full_name=""facebook/react"")","[Issue(title=""Suggestion: show HOC names in profiler"", number=19259)]"
19,Bug: Devtools in Firefox does not allow adding props or editing props/state/hooks,"Repository(full_name=""facebook/react"")","[Issue(title=""Bug: Devtools in Firefox does not allow adding props or editing props/state/hooks"", number=18544)]"
20,Bug: Excessive cpu usage of the page when react-devtools is active,"Repository(full_name=""facebook/react"")","[Issue(title=""Bug: Excessive cpu usage of the page when react-devtools is active"", number=17935)]"
21,Add an option for `create-next-app` to create a headless API app.,"Repository(full_name=""vercel/next.js"")","[Issue(title=""Add an option for `create-next-app` to create a headless API app."", number=68118)]"
22,Add option to enable Turbopack with `create-next-app`,"Repository(full_name=""vercel/next.js"")","[Issue(title=""Add option to enable Turbopack with `create-next-app`"", number=65924)]"
23,[v5] Workbox webpack plugin current version is broken update to 6.2.0,"Repository(full_name=""facebook/create-react-app"")","[Issue(title=""[v5] Workbox webpack plugin current version is broken update to 6.2.0"", number=11293)]"
24,Add tests for extending ESLint,"Repository(full_name=""facebook/create-react-app"")","[Issue(title=""Add tests for extending ESLint"", number=7519)]"
25,"CSS Custom variables --font-[variant] isn't computed for CSS ""font"" property when using NextJs Font Optimisation","Repository(full_name=""mui/material-ui"")","[Issue(title=""CSS Custom variables --font-[variant] isn't computed for CSS ""font"" property when using NextJs Font Optimisation"", number=45537)]"
26,[Bug]: Storybook not accessible from local hostname after Vite 6 upgrade,"Repository(full_name=""storybookjs/storybook"")","[Issue(title=""[Bug]: Storybook not accessible from local hostname after Vite 6 upgrade"", number=30338)]"
27,[Bug]: create Nextjs sandbox failed.,"Repository(full_name=""storybookjs/storybook"")","[Issue(title=""[Bug]: create Nextjs sandbox failed."", number=30302)]"
28,[Bug]: Interactions panel is rendering inline HTML in error messages,"Repository(full_name=""storybookjs/storybook"")","[Issue(title=""[Bug]: Interactions panel is rendering inline HTML in error messages"", number=29306)]"
29,[Feature Request] 增加自定义多模态大模型上传图片按钮,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Feature Request] 增加自定义多模态大模型上传图片按钮"", number=5724)]"
30,[Bug] 使用 Azure 模型时应该是 @Azure 而文档中是 @azure,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Bug] 使用 Azure 模型时应该是 @Azure 而文档中是 @azure"", number=5574)]"
31,[Feature Request] 能否加入通过插件分析PDF的功能,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Feature Request] 能否加入通过插件分析PDF的功能"", number=5387)]"
32,[Feature Request] 支持新模型 gpt-4o-2024-08-06,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Feature Request] 支持新模型 gpt-4o-2024-08-06"", number=5231)]"
33,[Feature Request] 配合artifacts进行html折叠,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Feature Request] 配合artifacts进行html折叠"", number=5216)]"
34,[Feature Request] DISABLE_GPT4 =1 时不要禁止 gpt-4o-mini 模型,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Feature Request] DISABLE_GPT4 =1 时不要禁止 gpt-4o-mini 模型"", number=5145)]"
35,[Bug] 建议修复ChatGPTNextWeb页面的无障碍问题,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Bug] 建议修复ChatGPTNextWeb页面的无障碍问题"", number=5079)]"
36,[Feature Request]对话框进度滑块显示优化,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Feature Request]对话框进度滑块显示优化"", number=5034)]"
37,[Feature Request] 添加百度AI的免费模型ENIRE Speed和ENIRE Lite,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Feature Request] 添加百度AI的免费模型ENIRE Speed和ENIRE Lite"", number=5032)]"
38,[Feature Request] api setting 快捷设置,"Repository(full_name=""ChatGPTNextWeb/NextChat"")","[Issue(title=""[Feature Request] api setting 快捷设置"", number=4555)]"
39,Ant Design 5: Upgrade Upload component,"Repository(full_name=""apache/superset"")","[Issue(title=""Ant Design 5: Upgrade Upload component"", number=32824)]"
40,Remove non-standard IconButton in favor of Ant Design 5 standard Card component,"Repository(full_name=""apache/superset"")","[Issue(title=""Remove non-standard IconButton in favor of Ant Design 5 standard Card component"", number=32823)]"
41,"Wrong prompt in CSV/Excel upload form ""Columns To Be Parsed as Dates""","Repository(full_name=""apache/superset"")","[Issue(title=""Wrong prompt in CSV/Excel upload form ""Columns To Be Parsed as Dates"""", number=32790)]"
42,Dashboards are no longer to be shown in full screen for 5.0.0rc1,"Repository(full_name=""apache/superset"")","[Issue(title=""Dashboards are no longer to be shown in full screen for 5.0.0rc1"", number=32760)]"
43,Can't upload spreadsheets with capitalized extensions .XLSX and .CSV,"Repository(full_name=""apache/superset"")","[Issue(title=""Can't upload spreadsheets with capitalized extensions .XLSX and .CSV"", number=32654)]"
44,Toast messages can't be interacted with when a modal is open,"Repository(full_name=""apache/superset"")","[Issue(title=""Toast messages can't be interacted with when a modal is open"", number=32536)]"
45,Default Y Axis Title Margin of 15 often overlaps with axis value text,"Repository(full_name=""apache/superset"")","[Issue(title=""Default Y Axis Title Margin of 15 often overlaps with axis value text"", number=32528)]"
46,Big Number + Big Number with Trendline get cut off on dashboards,"Repository(full_name=""apache/superset"")","[Issue(title=""Big Number + Big Number with Trendline get cut off on dashboards"", number=31010)]"
47,"CSV, Columnar, and Excel Upload Form cosmetic updates","Repository(full_name=""apache/superset"")","[Issue(title=""CSV, Columnar, and Excel Upload Form cosmetic updates"", number=30737)]"
48,Ant Design 5: Upgrade Switch component,"Repository(full_name=""apache/superset"")","[Issue(title=""Ant Design 5: Upgrade Switch component"", number=30728)]"
49,Ant Design 5: Upgrade Input component ,"Repository(full_name=""apache/superset"")","[Issue(title=""Ant Design 5: Upgrade Input component "", number=30727)]"
50,Ant Design 5: Upgrade Avatar component,"Repository(full_name=""apache/superset"")","[Issue(title=""Ant Design 5: Upgrade Avatar component"", number=30726)]"
51,Accessibility: Missing Form Control for Show x entries on Tables,"Repository(full_name=""apache/superset"")","[Issue(title=""Accessibility: Missing Form Control for Show x entries on Tables"", number=30669)]"
52,Accessibility: Associate label with form control on dashboard filters,"Repository(full_name=""apache/superset"")","[Issue(title=""Accessibility: Associate label with form control on dashboard filters"", number=25859)]"
53,Inefficient queries in sync_role_definitions,"Repository(full_name=""apache/superset"")","[Issue(title=""Inefficient queries in sync_role_definitions"", number=25040)]"
54,Charts Fullscreen issue when filter pane is collapsed ,"Repository(full_name=""apache/superset"")","[Issue(title=""Charts Fullscreen issue when filter pane is collapsed "", number=24752)]"
55,Cannot set color scheme for dashboard-associated chart even when dashboard color scheme is cleared,"Repository(full_name=""apache/superset"")","[Issue(title=""Cannot set color scheme for dashboard-associated chart even when dashboard color scheme is cleared"", number=23874)]"
56,[Chart] Toggling legends in Stacked Bar Chart v2 does not update total values,"Repository(full_name=""apache/superset"")","[Issue(title=""[Chart] Toggling legends in Stacked Bar Chart v2 does not update total values"", number=20860)]"
57,X-axis tick mark at first of the month is incorrectly injected into charts with weekly time grain,"Repository(full_name=""apache/superset"")","[Issue(title=""X-axis tick mark at first of the month is incorrectly injected into charts with weekly time grain"", number=19506)]"
58,[mixed time-series; time-series bar chart v2] D3 format of saved metric is ignored; bar values ignore D3 format of the chart,"Repository(full_name=""apache/superset"")","[Issue(title=""[mixed time-series; time-series bar chart v2] D3 format of saved metric is ignored; bar values ignore D3 format of the chart"", number=18234)]"
59,"Attach new report to the dashboard again, but there are no error messages on the page","Repository(full_name=""apache/superset"")","[Issue(title=""Attach new report to the dashboard again, but there are no error messages on the page"", number=18225)]"
60,Big Number does not handle DECIMAL metrics,"Repository(full_name=""apache/superset"")","[Issue(title=""Big Number does not handle DECIMAL metrics"", number=18222)]"
61,Blinking Native dashboard filter,"Repository(full_name=""apache/superset"")","[Issue(title=""Blinking Native dashboard filter"", number=18213)]"
62,Seeing 404 Not Found with SQLLAB_BACKEND_PERSISTENCE Enabled,"Repository(full_name=""apache/superset"")","[Issue(title=""Seeing 404 Not Found with SQLLAB_BACKEND_PERSISTENCE Enabled"", number=18184)]"
63,Migrate components to TypeScript,"Repository(full_name=""apache/superset"")","[Issue(title=""Migrate components to TypeScript"", number=18100)]"
64,"The ""-s""/""--sync"" flags for the Superset import-datasources cli command do not function properly","Repository(full_name=""apache/superset"")","[Issue(title=""The ""-s""/""--sync"" flags for the Superset import-datasources cli command do not function properly"", number=18029)]"
65,Flask-Migrate output is not logged during alembic migrations,"Repository(full_name=""apache/superset"")","[Issue(title=""Flask-Migrate output is not logged during alembic migrations"", number=17991)]"
66,Inconsistency in package dependency,"Repository(full_name=""apache/superset"")","[Issue(title=""Inconsistency in package dependency"", number=17966)]"
67,Superset translation native filters bug,"Repository(full_name=""apache/superset"")","[Issue(title=""Superset translation native filters bug"", number=17779)]"
68,[Pivot 2]  fonts are not suited to numbers (Inter),"Repository(full_name=""apache/superset"")","[Issue(title=""[Pivot 2]  fonts are not suited to numbers (Inter)"", number=17633)]"
69,Closing all tabs on SQL Lab leaves the screen blank,"Repository(full_name=""apache/superset"")","[Issue(title=""Closing all tabs on SQL Lab leaves the screen blank"", number=17630)]"
70,[mixed time-series] Metric name is shown in legend instead of label,"Repository(full_name=""apache/superset"")","[Issue(title=""[mixed time-series] Metric name is shown in legend instead of label"", number=17586)]"
71,SQLLAB AutoComplete: add space after double quotation mark,"Repository(full_name=""apache/superset"")","[Issue(title=""SQLLAB AutoComplete: add space after double quotation mark"", number=17435)]"
72,can we save the pagination setting to the chart metadata,"Repository(full_name=""apache/superset"")","[Issue(title=""can we save the pagination setting to the chart metadata"", number=17415)]"
73,NameError: name 'request' is not defined,"Repository(full_name=""apache/superset"")","[Issue(title=""NameError: name 'request' is not defined"", number=17391)]"
74,[Funnel Chart] Ability to Customize Denominator for Percentage in Funnel Visualization,"Repository(full_name=""apache/superset"")","[Issue(title=""[Funnel Chart] Ability to Customize Denominator for Percentage in Funnel Visualization"", number=17219)]"
75,Annotation Layer Text Display Overlapping with Graph Legends,"Repository(full_name=""apache/superset"")","[Issue(title=""Annotation Layer Text Display Overlapping with Graph Legends"", number=17131)]"
76,SQL Lab queries can't be stopped,"Repository(full_name=""apache/superset"")","[Issue(title=""SQL Lab queries can't be stopped"", number=17011)]"
77,[Explore] Owner can not change the name by just clicking on the title,"Repository(full_name=""apache/superset"")","[Issue(title=""[Explore] Owner can not change the name by just clicking on the title"", number=16995)]"
78,[dashboard][error msg] Can we have specific error info in the error title ,"Repository(full_name=""apache/superset"")","[Issue(title=""[dashboard][error msg] Can we have specific error info in the error title "", number=16938)]"
79,[dashboard edit] Sort by menu for adding chart need some consistency,"Repository(full_name=""apache/superset"")","[Issue(title=""[dashboard edit] Sort by menu for adding chart need some consistency"", number=16904)]"
80,Db2 is not listed when trying to create new database connection,"Repository(full_name=""apache/superset"")","[Issue(title=""Db2 is not listed when trying to create new database connection"", number=16796)]"
81,[Examples] metadata is missing schema in example datasets ,"Repository(full_name=""apache/superset"")","[Issue(title=""[Examples] metadata is missing schema in example datasets "", number=16793)]"
82,SQL block does not support block magic comments,"Repository(full_name=""facebook/docusaurus"")","[Issue(title=""SQL block does not support block magic comments"", number=10748)]"
83,zustand does not behave properly with useLayoutEffect,"Repository(full_name=""pmndrs/zustand"")","[Issue(title=""zustand does not behave properly with useLayoutEffect"", number=276)]"
84,Type error when using interface instead of type in Typescript,"Repository(full_name=""pmndrs/zustand"")","[Issue(title=""Type error when using interface instead of type in Typescript"", number=213)]"
85,[Question] QUESTION_TITLE_HERE,"Repository(full_name=""typescript-cheatsheets/react"")","[Issue(title=""[Question] QUESTION_TITLE_HERE"", number=623)]"
86,[Question] Doing a component map,"Repository(full_name=""typescript-cheatsheets/react"")","[Issue(title=""[Question] Doing a component map"", number=581)]"
87,[Question] Chinese translation,"Repository(full_name=""typescript-cheatsheets/react"")","[Issue(title=""[Question] Chinese translation"", number=577)]"
88,[Question] Can I translate into Chinese (for a fee),"Repository(full_name=""typescript-cheatsheets/react"")","[Issue(title=""[Question] Can I translate into Chinese (for a fee)"", number=441)]"
89,[Question] type check JSX children to be a specific component/type,"Repository(full_name=""typescript-cheatsheets/react"")","[Issue(title=""[Question] type check JSX children to be a specific component/type"", number=410)]"
90,elliptic 6.6.0 flagged as vulnerable in meteor-node-stubs,"Repository(full_name=""meteor/meteor"")","[Issue(title=""elliptic 6.6.0 flagged as vulnerable in meteor-node-stubs"", number=13623)]"
91,What is the recommended way to run package tests on GitHub Actions with Meteor 3?,"Repository(full_name=""meteor/meteor"")","[Issue(title=""What is the recommended way to run package tests on GitHub Actions with Meteor 3?"", number=13412)]"
92,Update is not available on the server,"Repository(full_name=""meteor/meteor"")","[Issue(title=""Update is not available on the server"", number=13327)]"
93,[svelte-query] `getQueryData`/`setQueryData` fail to infer query data type from `queryOptions`,"Repository(full_name=""TanStack/query"")","[Issue(title=""[svelte-query] `getQueryData`/`setQueryData` fail to infer query data type from `queryOptions`"", number=7535)]"
94,`QueryErrorResetBoundary` not reset after throwing error in component with `useSuspenseQuery`,"Repository(full_name=""TanStack/query"")","[Issue(title=""`QueryErrorResetBoundary` not reset after throwing error in component with `useSuspenseQuery`"", number=7465)]"
95,zoom out crashes,"Repository(full_name=""vercel/hyper"")","[Issue(title=""zoom out crashes"", number=3498)]"
96,Add keymap to open hamburger menu without using the mouse,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Add keymap to open hamburger menu without using the mouse"", number=3443)]"
97,Error launching WinPTY agent: ConnectNamedPipe failed: Windows error 232 at new WindowsPtyAgent ,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Error launching WinPTY agent: ConnectNamedPipe failed: Windows error 232 at new WindowsPtyAgent "", number=3442)]"
98,2.1.0 - Broken in OSX - Copy / Paste File or Directory to get full path in terminal,"Repository(full_name=""vercel/hyper"")","[Issue(title=""2.1.0 - Broken in OSX - Copy / Paste File or Directory to get full path in terminal"", number=3340)]"
99,Build for Linux ARM devices,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Build for Linux ARM devices"", number=3337)]"
100,Broken link (https://www.hyper.is) in PLUGINS.md file,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Broken link (https://www.hyper.is) in PLUGINS.md file"", number=3088)]"
101,Add startup/working directory config,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Add startup/working directory config"", number=3000)]"
102,Upgrade to Electron v2,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Upgrade to Electron v2"", number=2966)]"
103,Move app version string from app/package.json to root package.json,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Move app version string from app/package.json to root package.json"", number=2894)]"
104,"Not launching at all on CentOS 7 (""Javascript error occurred in the main process"")","Repository(full_name=""vercel/hyper"")","[Issue(title=""Not launching at all on CentOS 7 (""Javascript error occurred in the main process"")"", number=2861)]"
105,Hyper CLI command not installed if /usr/local/bin doesn't exist,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Hyper CLI command not installed if /usr/local/bin doesn't exist"", number=2829)]"
106,CLI: Use dev config file,"Repository(full_name=""vercel/hyper"")","[Issue(title=""CLI: Use dev config file"", number=2789)]"
107,Retain commented out plugins when installing/uninstalling plugins from the cli,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Retain commented out plugins when installing/uninstalling plugins from the cli"", number=2756)]"
108,SSH url scheme handling should not be added on dev mode,"Repository(full_name=""vercel/hyper"")","[Issue(title=""SSH url scheme handling should not be added on dev mode"", number=2740)]"
109,[CLI] Do not automatically prefix package name when installing,"Repository(full_name=""vercel/hyper"")","[Issue(title=""[CLI] Do not automatically prefix package name when installing"", number=2739)]"
110,Unfocus term when window is unfocused,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Unfocus term when window is unfocused"", number=2738)]"
111,Fix unit tests and make them mandatory,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Fix unit tests and make them mandatory"", number=2703)]"
112,Add flow/typescript toolchain/workflow,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Add flow/typescript toolchain/workflow"", number=2702)]"
113,"Windows collapse, minimize and close buttons are visible on Ubuntu","Repository(full_name=""vercel/hyper"")","[Issue(title=""Windows collapse, minimize and close buttons are visible on Ubuntu"", number=2691)]"
114,Reset splits either side of a divider to an even ratio on double click of the divider,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Reset splits either side of a divider to an even ratio on double click of the divider"", number=2687)]"
115,updateChannel config param should be hot reloaded,"Repository(full_name=""vercel/hyper"")","[Issue(title=""updateChannel config param should be hot reloaded"", number=2351)]"
116,Windows SyntaxError notification is truncated,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Windows SyntaxError notification is truncated"", number=2346)]"
117,Specify plugin version in config,"Repository(full_name=""vercel/hyper"")","[Issue(title=""Specify plugin version in config"", number=2311)]"
118,Rename `useIsMultiplayer.ts` to `useCollaborationStatus`,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""Rename `useIsMultiplayer.ts` to `useCollaborationStatus`"", number=5833)]"
119,[Bug]: No way to define center for `Ellipse2d`,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""[Bug]: No way to define center for `Ellipse2d`"", number=4301)]"
120,[Feature]: Customise delay of laser tool,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""[Feature]: Customise delay of laser tool"", number=4211)]"
121,Add comma key to kbd shortcuts menu,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""Add comma key to kbd shortcuts menu"", number=3531)]"
122,[Feature]: Add 'Print' option in file menu,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""[Feature]: Add 'Print' option in file menu"", number=3254)]"
123,[Bug]: Wrong initial page name in browser with another language,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""[Bug]: Wrong initial page name in browser with another language"", number=3237)]"
124,[Feature]: Please add an option to resize the image back to the original size,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""[Feature]: Please add an option to resize the image back to the original size"", number=3168)]"
125,Arrow label snapping shouldn't scale with arrow length,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""Arrow label snapping shouldn't scale with arrow length"", number=2901)]"
126,Allow scribbles to record optional z value in addPoint(),"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""Allow scribbles to record optional z value in addPoint()"", number=2894)]"
127,[Bug]: Double-click on text outline behaves poorly when text is right-aligned,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""[Bug]: Double-click on text outline behaves poorly when text is right-aligned"", number=2811)]"
128,[Bug]: helpers for handling image paste aren't exposed,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""[Bug]: helpers for handling image paste aren't exposed"", number=2808)]"
129,[Bug]: Should prefer methods over function properties,"Repository(full_name=""tldraw/tldraw"")","[Issue(title=""[Bug]: Should prefer methods over function properties"", number=2799)]"
130,"[ios, all browsers] focus mode shortcut doesn't work with cmd, only ctrl","Repository(full_name=""tldraw/tldraw"")","[Issue(title=""[ios, all browsers] focus mode shortcut doesn't work with cmd, only ctrl"", number=2745)]"
